,Count,Count,Count,Count, Avg SC Ratio, Avg SC Ratio, Avg SC Ratio, Avg SC Ratio,Avg ReLy,Avg ReLy,Avg ReLy,Avg ReLy,Avg semantic diff,Avg semantic diff,Avg semantic diff,Avg semantic diff,Avg NSC similarity,Avg NSC similarity,Avg NSC similarity,Avg NSC similarity,Avg SC similarity,Avg SC similarity,Avg SC similarity,Avg SC similarity,Avg references,Avg references,Avg references,Avg references,Average SCs,Average SCs,Average SCs,Average SCs,Size
,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicine(miscellaneous)(Q1),21,11813,606.9057471264368,1318.7098701043667,0.006339358,0.303225827,0.08440559180919541,0.049738833505535644,-3.161799716,1.311193556,-0.4233994314183908,0.4948543033810563,-0.223206757,0.063098199,-0.056956890029885056,0.046394988315201106,0.170008588,0.710266889,0.515859495645977,0.1136757320213398,0.226469718,0.813796394,0.5728163856896552,0.14173939518090992,13.73873874,530.6461538,47.47437624827586,39.144709021359404,1.127906977,12.2,2.7103553089862067,1.391879712184918,435
Medicine(miscellaneous)(Q2),21,5333,317.2913907284768,613.3799729542167,0.016579378,0.344814618,0.08423748944701986,0.04750092433996855,-5.585591051,0.840231691,-0.4708410969602649,0.6261220161045165,-0.225925595,0.101209448,-0.05932314460596026,0.04823734805341449,0.095024682,0.707104155,0.5115435340496689,0.10829390310076177,0.168175037,0.791030149,0.5708666786423842,0.13761848043270436,15.58333333,127.6458333,36.53652908251655,13.158466506561382,1.08,8.254452926,2.308101196003311,1.11577681644965,302
Medicine(miscellaneous)(Q3),21,2447,177.77070063694268,300.9019320738702,0.029030372,0.335690649,0.09068836777070065,0.04016555651960756,-4.524671593,0.822390687,-0.5301125135222929,0.6479349848378808,-0.199570982,0.10874622,-0.05887898117834395,0.05396402327974752,0.173202195,0.689892347,0.48773888749044586,0.12094890275236869,0.26079804,0.786109351,0.5466178686687898,0.14286043698193168,12.05050505,68.66917293,29.571380807261146,8.741721354662122,1.0625,7.25,2.0714798399299363,0.9397182874385143,157
PsychiatryandMentalHealth(Q1),21,2720,456.8333333333333,542.9786765926666,0.016833138,0.208841155,0.07907829025490196,0.03639940726862217,-1.691021916,0.582442108,-0.4038084514705882,0.42782313854872694,-0.188482709,0.038421578,-0.05884336965980392,0.04988975010456347,0.170731517,0.677712176,0.5016771621666667,0.10603351971986741,0.288334191,0.769258643,0.5605205318333334,0.13857039401495658,25.57142857,135.8764045,47.08957147264706,18.092609717573005,1.227272727,6.097883598,2.7950894703921567,1.1302247974189998,102
"PublicHealth,EnvironmentalandOccupationalHealth(Q1)",23,5613,591.7128712871287,1100.1191511525797,0.011248199,0.244800553,0.09943005963366337,0.040443065346400055,-2.758117541,0.541294303,-0.48584480048514855,0.6236578495437941,-0.186351025,0.028481407,-0.05183141366633663,0.052033904460319955,0.170731517,0.660549529,0.47864210531683166,0.0925841306630828,0.288334191,0.771437831,0.530473518930693,0.13145384903053556,20.5952381,260.2161654,35.335361513663365,24.86094106151709,1.16,5.394444444,2.6612081822871287,0.9650058655567376,101
MolecularBiology(Q1),22,32460,1650.9642857142858,4185.28331711155,0.006429157,0.149911138,0.053227173380952376,0.030640031247767166,-0.808337292,0.846409327,-0.2529638214404762,0.24867054160000387,-0.149253207,0.058021431,-0.05168593529761905,0.0385962392317603,0.38349135,0.687973462,0.6087491527380953,0.0708651311952441,0.348902081,0.791175654,0.6604350880595238,0.09632047151340872,26.19412167,530.6461538,74.30519930904762,62.69162270388743,1.103448276,8.139290883,2.622421921404762,1.3464770012689606,84
Biochemistry(Q1),21,32460,1374.4444444444443,4004.059465092896,0.009205545,0.212838235,0.06734886709876543,0.048127223292908035,-1.625934789,0.846409327,-0.3546675631728395,0.3966657713309173,-0.141432703,0.168902548,-0.05550588404938272,0.0400559465738335,0.369856864,0.687973462,0.6115406270740741,0.06653656999305459,0.348902081,0.791175654,0.6670465111975309,0.09018305257315337,24.17536408,191.64,64.02971266222222,34.84832731695723,1.103448276,7.503117693,2.752683893308642,1.533384118768407,81
MolecularBiology(Q2),21,23663,880.1,3018.1222119185204,0.020301494,0.222921584,0.0579222890375,0.03522053237428591,-1.672073519,0.695525308,-0.33637086312500003,0.382599924181732,-0.152904382,0.168902548,-0.0580249799375,0.052877839838287206,0.282132433,0.682258368,0.6038986747,0.07310739135189483,0.325375553,0.768615172,0.661923654675,0.10251964911584131,26.14731369,104.0416667,56.724009878749996,16.902454660843457,1.162162162,8.19765034,2.401332432,1.2142399918635254,80
