Journal Name,Journal ISSN,Count, Avg SC Ratio,Avg ReLy,Avg semantic diff,Avg NSC similarity,Avg SC similarity,Avg references,Average SCs
PloS one,1932-6203,99758,0.056464889,-0.077998038,-0.01072552,0.565637197,0.576362717,42.97532028,2.033521121
Proceedings of the National Academy of Sciences of the United States of America,0027-8424,75884,0.10741644,-0.564253773,-0.050717636,0.643379386,0.694097021,35.45693427,3.504981287
Journal of virology,0022-538X,34336,0.257611928,-1.82520989,-0.068543752,0.630225397,0.698769149,46.85723439,11.98293336
The Journal of biological chemistry,0021-9258,32460,0.132564865,-0.76179865,-0.055588808,0.659594498,0.715183306,49.62255083,6.454744301
Nucleic acids research,0305-1048,25921,0.142533404,-0.966969457,-0.044697422,0.6430439,0.687741322,41.54970873,5.017977701
Scientific reports,2045-2322,25438,0.06037355,-0.41181524,-0.078359259,0.650576215,0.728935474,37.87086249,1.699543989
Journal of bacteriology,0021-9193,23663,0.222921584,-1.672073519,-0.069505964,0.606793464,0.676299428,38.05658623,8.19765034
Applied and environmental microbiology,0099-2240,20882,0.212188518,-1.840389301,-0.078855439,0.613468019,0.692323458,31.55746576,5.838808543
Infection and immunity,0019-9567,19596,0.184099536,-1.550039186,-0.082034299,0.625329245,0.707363544,40.75045928,7.152020821
Antimicrobial agents and chemotherapy,0066-4804,18705,0.227328592,-2.094556743,-0.092339663,0.594227665,0.686567328,29.78823844,6.094680567
Journal of clinical microbiology,0095-1137,18104,0.239629123,-2.394728478,-0.097645932,0.60351179,0.701157721,25.32070261,5.684379143
Molecular and cellular biology,0270-7306,16869,0.103860541,-0.704338464,-0.06423764,0.671616271,0.735853912,52.49303456,5.338550003
Biophysical journal,0006-3495,15354,0.14928001,-1.152087895,-0.071202576,0.659649341,0.730851917,37.8246711,5.141526638
The Journal of physiology,0022-3751,13281,0.159028918,-1.081804177,-0.059708264,0.652082862,0.711791126,42.8398464,5.935095249
Plant physiology,0032-0889,12771,0.210421359,-1.427639031,-0.040245091,0.629279024,0.669524115,40.6645525,6.595176572
The Biochemical journal,0264-6021,12543,0.100123197,-0.678999786,-0.057390707,0.627979327,0.685370034,39.18719605,3.354141752
The EMBO journal,0261-4189,11813,0.075673252,-0.475566014,-0.061208515,0.651701541,0.712910056,48.26521629,3.414966562
The Journal of clinical investigation,0021-9738,11538,0.076784118,-0.524626963,-0.068780245,0.615417238,0.684197484,45.84078696,3.062489166
British journal of pharmacology,0007-1188,11323,0.113288664,-0.620342984,-0.035167213,0.583650391,0.618817604,46.21575554,4.254614501
The Journal of cell biology,0021-9525,11211,0.149077492,-1.001226236,-0.060749735,0.6521579,0.712907636,50.9149942,7.263134422
Oncotarget,1949-2553,10837,0.051572319,-0.471119234,-0.090703084,0.597961411,0.688664495,51.6969641,2.367444865
Genetics,0016-6731,10081,0.187545925,-0.810824681,-0.040538434,0.649640464,0.690178898,43.43259597,6.573752604
The Journal of neuroscience : the official journal of the Society for Neuroscience,0270-6474,9972,0.130900392,-0.63768001,-0.050965069,0.648015658,0.698980727,55.22422784,7.1148215
British journal of cancer,0007-0920,9857,0.081243972,-0.614500453,-0.070254529,0.571315914,0.641570444,31.84904129,2.235670082
World journal of gastroenterology,1007-9327,8884,0.062551212,-0.115500026,-0.026703298,0.494772865,0.521476163,50.9361774,2.395767672
The Journal of experimental medicine,0022-1007,8590,0.126243872,-0.694534822,-0.057788716,0.657562586,0.715351301,42.94842841,5.117462165
Nature communications,2041-1723,8460,0.059986575,-0.39037532,-0.068246416,0.671463755,0.739710171,41.0177305,1.867730496
Blood,0006-4971,7698,0.178271759,-1.306807881,-0.068248104,0.62644857,0.694696673,44.65640426,7.503117693
Nature,0028-0836,7662,0.141079538,-0.713754696,-0.053949323,0.616294962,0.670244285,33.02022971,3.95523362
"Journal of immunology (Baltimore, Md. : 1950)",0022-1767,7450,0.140177513,-0.816173223,-0.061380756,0.662978795,0.724359551,51.58161074,7.085771812
The American journal of pathology,0002-9440,7310,0.06137782,-0.495628077,-0.082268738,0.627506649,0.709775386,44.51162791,2.460875513
Experimental brain research,0014-4819,6827,0.141986774,-1.02536167,-0.070450712,0.680306105,0.750756817,38.12758166,4.88135345
Psychopharmacology,0033-3158,6749,0.123936681,-0.417071932,-0.026005305,0.519730284,0.545735589,49.92235887,5.471921766
Molecular biology of the cell,1059-1524,6619,0.061552701,-0.394597983,-0.064894013,0.680674128,0.745568141,55.92521529,3.37845596
Journal of the American Chemical Society,0002-7863,6580,0.199672055,-1.429513728,-0.066599559,0.625916486,0.692516045,36.32765957,6.755471125
BMC genomics,1471-2164,6509,0.049803996,0.145219897,0.02887658,0.418043864,0.389167285,55.23383008,2.413427562
Surgical endoscopy,0930-2794,6433,0.17626715,-0.323151209,-0.024444488,0.451118337,0.475562826,26.37152184,4.364215762
American journal of human genetics,0002-9297,6332,0.14519013,-1.020940559,-0.078731757,0.607505883,0.68623764,34.83622868,4.526373973
The Plant cell,1040-4651,5879,0.133851853,-0.456877408,-0.03639223,0.64571247,0.6821047,53.36400748,6.702160231
BMJ (Clinical research ed.),0959-8138,5800,0.152402447,0.394667726,0.021875355,0.40488168,0.383006326,24.44034483,2.956034483
Digestive diseases and sciences,0163-2116,5694,0.077913543,-0.601922803,-0.076499883,0.51470367,0.591203553,31.93501932,2.097822269
BMC public health,1471-2458,5613,0.064518055,-0.141651209,-0.0235066,0.446062306,0.469568906,33.11829681,1.827543203
Environmental health perspectives,0091-6765,5584,0.136722372,-0.645878661,-0.050242903,0.479006523,0.529249426,39.65454871,4.703259312
Biochemistry,0006-2960,5447,0.143204807,-1.281409538,-0.081249333,0.652102892,0.733352225,46.80356159,6.224160088
Proceedings. Biological sciences,0962-8452,5402,0.111064569,-0.743966117,-0.069159613,0.682956638,0.752116251,28.2784154,2.702332469
Environmental science and pollution research international,0944-1344,5333,0.09241348,0.028315469,-0.002937291,0.679934198,0.682871489,30.33527095,2.253140821
American journal of public health,0090-0036,5301,0.131192318,-0.048761086,-0.005366568,0.445522688,0.450889256,27.68439917,3.132993775
Frontiers in microbiology,1664-302X,5244,0.04752529,-0.358752689,-0.081018661,0.637888538,0.718907199,59.76906941,2.203279939
BMC bioinformatics,1471-2105,4979,0.091861933,0.360608145,0.035991469,0.402919969,0.3669285,31.61538462,2.529825266
Diabetologia,0012-186X,4916,0.098654981,-0.208067071,-0.0157657,0.511991414,0.527757114,37.24206672,3.177583401
Parasitology research,0932-0113,4857,0.139881511,-1.278792001,-0.086484699,0.632603283,0.719087982,29.49763228,3.77743463
Plant molecular biology,0167-4412,4821,0.097268728,-0.630809863,-0.059530709,0.638554122,0.698084831,39.89524995,3.260319436
Frontiers in psychology,1664-1078,4782,0.074695216,-0.264802497,-0.042229595,0.631769062,0.673998657,41.77352572,2.212463404
PLoS neglected tropical diseases,1935-2727,4705,0.093579002,0.28897123,0.028481407,0.461649847,0.433168441,43.18597237,3.410201913
